severity	plugin_id	name	current_kind	proposed_guard	tier_note	evidence
P0	minimal-audio--minimal-audio-current	Current	plugin	"reclass unknown_other or delete; match_patterns [""Current""] will false-hit"	tier-2 gap row	name is a table-header import; notes null
P0	plugin-alliance--nvelope-mastering-edition	Nvelope Mastering Edition	hardware	reclass plugin (edition). 500/Qube/Rack stay hardware	tier-1 PA	elysia nvelope plugin exists; Mastering Edition is a plugin SKU not a unit
P0	plugin-alliance--xfilter-mastering-edition	Xfilter Mastering Edition	hardware	same as Nvelope Mastering Edition	tier-1 PA	paired misclass with 500-series hardware siblings
P0	wave-arts--power-suite-7	Power Suite 7	plugin	reclass bundle; version=installer 7.01; NEVER copy onto TrackPlug 7.11	tier-2 unversioned	vendor text: installer build independent of plug-in versions
P0	wave-arts--master-restoration-suite-6	Master Restoration Suite 6	plugin	reclass bundle; do not stamp suite build onto MR Noise/Hum/Click/Gate	tier-2	same vendor rule; components are separate rows
P0	d16-group--repeater-slate-digital-edition	Repeater (Slate Digital Edition)	suite_component	one identity only; duplicate of slate-digital--repeater-slate-digital-edition (kind=plugin)	cross mfr	two rows, two kinds, one product
P0	slate-digital--repeater-slate-digital-edition	Repeater (Slate Digital Edition)	plugin	link as edition alias of d16 Repeater; do not version independently from a Slate hub stamp	tier-1 slate	same display name as the d16 row
P1	acustica-audio--* (134 rows)	Acustica products	suite_component	kind over-collapsed. Versions are DISTINCT (1.4.x vs 2.3.5 vs 3.0.5), so they are not one suite build. Do not bulk-reclass and do not raise KVR@60. Guard: suite_component must not mean 'Aquarius cohort'.	tier-2 134 yellow	KVR per product; Aquarius portal
P1	kilohearts--* unprefixed (33)	snapin duplicates	gen_ambiguous	kind is wrong: these are duplicate ids of khs-* rows, not generations. Guard: gen_ambiguous forbidden when notes say 'Duplicate identity'.	tier-1	notes already say use khs-prefixed id
P1	softube--uad-* (17 rows)	UAD * under softube	plugin	manufacturer identity is UAD DSP, version 12.0 is UAD suite not Softube native 2.6.41. Do not let Softube Central chip touch these ids.	tier-1	source help.uaudio.com version history
P1	softube--tube-tech-complete-collection-2	Tube-Tech Complete Collection 2	plugin	reclass bundle OR keep plugin but version must not be Softube Central 2.6.41 unless page scopes this SKU	tier-1	known suite-vs-SKU trap
P1	softube--flow-mastering-suite	Flow Mastering Suite	plugin	product name is a suite; confirm it is a real SKU before keeping kind=plugin at 2.6.41	tier-1	same 2.6.41 stamp as 124 softube rows
P1	51 rows identity_kind=discontinued AND discontinued=0	various	discontinued	flag/kind split. App badge must read identity_kind OR discontinued, not only the integer. Backfill discontinued=1 where kind is discontinued.	mixed	Guitar Rig 5, Reaktor 6, B4, PSP gen1, TDR Feedback Compressor II
P1	29 rows discontinued=1 AND kind=plugin	SPL rangers, Loomer, Tritik, Steinberg Padshop/RND	plugin	set identity_kind=discontinued when flag=1 and successor or EOL note exists, else UX shows them as live plugins	mixed	SPL rows still carry version 1.9 with PA Plus successors
P2	out-of-enum effect (14) instrument (40) standalone_app (1)	Beatskillz, Sonuscore, HOFA CD-Burn	effect/instrument/standalone_app	schema v4 enum does not list these. Map instrument/effect -> plugin unless they are content; standalone_app -> hub_app or unknown_other. Export contract risk.	mixed	HOFA CD-Burn.DDP.Master is the only standalone_app
P2	neural-dsp--fortin-*-suite	Fortin * Suite	plugin	ALLOW. 'Suite' is the product name, not a bundle of catalog rows. Name-token guard must be allowlisted.	tier-2 already green @92	official product names
P2	x42--meter-collection	Meter Collection	plugin	borderline: x42 ships a collection binary. Keep plugin if one binary; do not split meters.	tier-3	github 0.9.30
P2	soundtheory--gullfoss-master	Gullfoss Master	plugin	do not inherit Gullfoss PDF 1.11.9. Changelog mentions Master as an edition inside Gullfoss notes. Separate SKU, tier override 3.	plugin tier 3, mfr tier 2	PDF v1.11.9 is Gullfoss
P2	universal-audio edition bundles	UAD * Edition / Collection	bundle or plugin	UA collections at 12.0.0 are suite versions by design. Guard is 'expected cohort' not misfile, unless a native UADx build exists (Pultec collection is 1.2.16 — different line).	tier-1	do not 'fix' 12.0.0 down to a fantasy per-plugin build
