confidence	plugin_id	name	current_kind	proposed_kind	public_url	why
high	universal-audio--uad-producer-edition	UAD Producer Edition	plugin	bundle	https://www.sweetwater.com/store/detail/UADProducerEd--universal-audio-uad-producer-edition-native-plug-in-bundle	Commerce native plug-in bundle (16 titles / 22 plugs). Not a DSP tip target; DB tip null/1.0 noise.
high	universal-audio--uad-studio-edition	UAD Studio Edition	plugin	bundle	https://www.uaudio.com/downloads/ua-connect/	Commerce edition pack (UA Editions template).
high	universal-audio--uad-signature-edition-v3	UAD Signature Edition V3	plugin	bundle	https://www.uaudio.com/downloads/ua-connect/	Commerce edition pack (UA Editions template).
high	universal-audio--uadx-essentials-edition	UADx Essentials Edition	plugin	bundle	https://www.uaudio.com/downloads/ua-connect/	Commerce edition pack (UA Editions template).
high	universal-audio--uadx-signature-edition-v2	UADx Signature Edition V2	plugin	bundle	https://www.uaudio.com/downloads/ua-connect/	Commerce edition pack (UA Editions template).
high	universal-audio--uadx-pultec-passive-eq-collection	UADx Pultec Passive EQ Collection	plugin	bundle	https://www.uaudio.com/products/pultec-passive-eq-collection	Multi-EQ collection; sibling UAD Pultec row already bundle. Product page: includes three EQs (EQP-1A / MEQ-5 / HLF-3C).
high	softube--tube-tech-complete-collection-2	Tube-Tech Complete Collection 2	plugin	bundle	https://www.softube.com/plug-ins/tube-tech-complete-collection-2	Vendor page: 'includes the following plug-ins' (CL 1B Mk II + PE 1C/ME 1B set). Softube Central 2.6.41 stamp is suite-vs-SKU trap.
high	softube--flow-mastering-suite	Flow Mastering Suite	plugin	bundle	https://www.softube.com/flow-mastering-suite	Subscription suite of mastering Flows + Softube plugs; not a single DSP binary.
high	softube--flow-mixing-suite	Flow Mixing Suite	plugin	bundle	https://www.softube.com/flow-mixing-suite	Vendor: 'includes 70+ plug-ins'. Subscription suite.
high	softube--passive-active-pack	Passive-Active Pack	plugin	bundle	https://www.softube.com/plug-ins/passive-active-pack	Vendor: '3-in-1 collection of EQ plugins' (Passive / Active / Focusing).
high	softube--abbey-road-studios-brilliance-pack	Abbey Road Studios Brilliance Pack	plugin	bundle	https://www.softube.com/plug-ins/abbey-road-brilliance-pack	Three treble EQs (RS127 Rack / RS127 Box / RS135) sold as one pack SKU.
high	softube--uad-softube-amp-room-bundle	UAD Softube Amp Room Bundle	plugin	bundle	https://www.softube.com/installers	Explicit Bundle name; UAD-DSP Softube Amp Room pack under softube manufacturer (also Softube↔UAD identity trap).
high	softube--uad-tube-tech-eq-collection	UAD Tube-Tech EQ Collection	plugin	bundle	https://www.softube.com/installers	UAD DSP collection under softube mfr; observed_version 12.0 is UAD Version History suite tip — classic Softube-UAD stamp crime.
high	waves--chris-lord-alge-artist-signature-series	Chris Lord-Alge Artist Signature Series	plugin	bundle	https://www.waves.com/bundles/chris-lord-alge-signature-series	waves.com marks product-data-type=bundle; 6 multi-effect plugins. Component tips must not inherit Waves Central suite stamp onto the series row.
high	waves--eddie-kramer-signature-series	Eddie Kramer Signature Series	plugin	bundle	https://www.waves.com/bundles/eddie-kramer-signature-series	Official /bundles/ page; '5 intuitive audio plugins'. Component rows already exist (Bass/Drum/Effects/Guitar/Vocal Channel).
high	waves--jack-joseph-puig-signature-series	Jack Joseph Puig Signature Series	plugin	bundle	https://www.waves.com/bundles/jack-joseph-puig-signature-series	Official /bundles/ page; product-data-type=bundle.
high	waves--manny-marroquin-signature-series	Manny Marroquin Signature Series	plugin	bundle	https://www.waves.com/bundles/manny-marroquin-signature-series	Official /bundles/ page; component rows (Delay/Distortion/EQ/Reverb/Tone Shaper/Triple D) already exist.
high	waves--tony-maserati-signature-series	Tony Maserati Signature Series	plugin	bundle	https://www.waves.com/bundles/tony-maserati-signature-series	Official /bundles/ page; component rows (ACG/B72/DRM/GRP/GTi/HMX/VX1) already exist.
allow	goodhertz--vcme-vulf-compressor-mastering-edition	VCME (Vulf Compressor Mastering Edition)	plugin	plugin	https://goodhertz.com/vcme/	Real single-plugin SKU; 'Mastering Edition' is product branding. goodhertz.com/vcme/ is a plugin product page.
allow	slate-digital--verbsuite-classics	VerbSuite Classics	plugin	plugin	https://slatedigital.com/verbsuite-classics-digital-reverb-plugin/	Single plugin hosting multiple Fusion-IR reverb models ('every iconic digital reverb in one plugin'). Neural-DSP Fortin Suite allowlist class.
allow	universal-audio--uad-c-suite-c-axe	UAD C-Suite C-Axe	plugin	plugin		Product-line token 'C-Suite'; each of C-Axe/C-Max/C-Vox is a discrete UAD plugin.
allow	universal-audio--uad-c-suite-c-max	UAD C-Suite C-Max	plugin	plugin		Product-line token 'C-Suite'.
allow	universal-audio--uad-c-suite-c-vox	UAD C-Suite C-Vox	plugin	plugin		Product-line token 'C-Suite'.
allow	universal-audio--uad-engl-e646-vs-limited-edition	UAD ENGL E646 VS Limited Edition	plugin	plugin		Single amp plugin; 'Limited Edition' is SKU marketing not a commerce pack.
allow_with_dedupe	slate-digital--repeater-slate-digital-edition	Repeater (Slate Digital Edition)	plugin	plugin		Real plugin edition of d16 Repeater; NOT a bundle. Hygiene: duplicate of d16-group--repeater-slate-digital-edition (suite_component). Link alias; don't version from Slate hub stamp independently.
allow	image-line--il-delay-juice-pack	IL Delay (Juice Pack)	plugin	plugin	https://www.image-line.com/vst-downloads	'(Juice Pack)' is historical product-line suffix; each row is a discrete IL plugin, not a pack of catalog rows.
allow	image-line--il-delay-bank-juice-pack	IL Delay Bank (Juice Pack)	plugin	plugin	https://www.image-line.com/vst-downloads	'(Juice Pack)' is historical product-line suffix; each row is a discrete IL plugin, not a pack of catalog rows.
allow	image-line--il-equo-juice-pack	IL EQUO (Juice Pack)	plugin	plugin	https://www.image-line.com/vst-downloads	'(Juice Pack)' is historical product-line suffix; each row is a discrete IL plugin, not a pack of catalog rows.
allow	image-line--il-flangus-juice-pack	IL Flangus (Juice Pack)	plugin	plugin	https://www.image-line.com/vst-downloads	'(Juice Pack)' is historical product-line suffix; each row is a discrete IL plugin, not a pack of catalog rows.
allow	image-line--il-multiband-compressor-juice-pack	IL Multiband Compressor (Juice Pack)	plugin	plugin	https://www.image-line.com/vst-downloads	'(Juice Pack)' is historical product-line suffix; each row is a discrete IL plugin, not a pack of catalog rows.
allow	image-line--il-parametric-eq-juice-pack	IL Parametric EQ (Juice Pack)	plugin	plugin	https://www.image-line.com/vst-downloads	'(Juice Pack)' is historical product-line suffix; each row is a discrete IL plugin, not a pack of catalog rows.
allow	image-line--il-spectroman-juice-pack	IL Spectroman (Juice Pack)	plugin	plugin	https://www.image-line.com/vst-downloads	'(Juice Pack)' is historical product-line suffix; each row is a discrete IL plugin, not a pack of catalog rows.
allow	image-line--il-stereo-enhancer-juice-pack	IL Stereo Enhancer (Juice Pack)	plugin	plugin	https://www.image-line.com/vst-downloads	'(Juice Pack)' is historical product-line suffix; each row is a discrete IL plugin, not a pack of catalog rows.
allow	image-line--il-vocoder-juice-pack	IL Vocoder (Juice Pack)	plugin	plugin	https://www.image-line.com/vst-downloads	'(Juice Pack)' is historical product-line suffix; each row is a discrete IL plugin, not a pack of catalog rows.
allow	image-line--il-waveshaper-juice-pack	IL WaveShaper (Juice Pack)	plugin	plugin	https://www.image-line.com/vst-downloads	'(Juice Pack)' is historical product-line suffix; each row is a discrete IL plugin, not a pack of catalog rows.
review	presonus--ampire-xt-metal-pack	Ampire XT Metal Pack	plugin	expansion	https://www.presonus.com/products/Ampire	Likely Ampire content/expansion pack (tip 1.0 smells like placeholder). Prefer expansion over bundle once Muse confirms.
review	steinberg--yamaha-vintage-stomp-pack	Yamaha Vintage Stomp Pack	plugin	bundle	https://www.steinberg.net/download/	Pack of stomps; public product URL soft. Keep review until Muse finds Yamaha/Steinberg product page scoping.
review_reverse	plugin-alliance--nvelope-mastering-edition	Nvelope Mastering Edition	hardware	plugin		REVERSE misclass: currently hardware; wave6 flagged as plugin SKU (elysia nvelope). Mastering Edition is plugin edition not 500-series unit.
review_reverse	plugin-alliance--xfilter-mastering-edition	Xfilter Mastering Edition	hardware	plugin		REVERSE misclass paired with Nvelope Mastering Edition.
review	plugin-alliance--uad-engl-e646-vs-limited-edition	UAD ENGL E646 VS Limited Edition	unknown_other	delete_or_alias		Cross-mfr contamination: UAD product under plugin-alliance. Alias to universal-audio--uad-engl-e646-vs-limited-edition or delete.
