id	name	plugins	kind_plugin	true_gaps	green	amber	yellow	avg_conf	changelog_url	website	portal	portal_app	version_scheme	hub	pb_method	hosts	extracts	kinds
airwindows	Airwindows	515	515	512	1	0	2	70.7		https://www.airwindows.com	https://www.airwindows.com/			0	expand-3 version chip	www.kvraudio.com:2;github.com:1	kvr-product-page:2;github-dawplugin-release-updated+asset-name-convention:1	plugin:515
puremagnetik	Puremagnetik	250	0	0	0	0	0			https://puremagnetik.com/	https://puremagnetik.com/			0				bundle:30;discontinued:4;soundset:216
acustica-audio	Acustica Audio	139	0	0	0	0	134	60.0		https://www.acustica-audio.com	https://www.acustica-audio.com/pages/aquarius	Aquarius		1	KVR product-page verwin (crowdsourced @60). Aquarius portal for installs — do not grind for versions.	www.kvraudio.com:134	kvr-product-page:132;surge-chip-2026-09-16-0718 A1:2	hub_app:4;soundset:1;suite_component:134
applied-acoustics	Applied Acoustics Systems	110	11	0	11	0	1	90.1	https://www.applied-acoustics.com/objeq-delay/resources/	https://www.applied-acoustics.com	https://www.applied-acoustics.com/portal/login/		semver	0		www.applied-acoustics.com:11;www.kvraudio.com:1	aas-support-latest-installers-table:8;live-html-sha256:3;?:1	discontinued:6;expansion:8;gen_ambiguous:2;plugin:11;soundset:83
hornet	HoRNet	105	105	0	72	0	33	81.8		https://www.hornetplugins.com	https://www.hornetplugins.com/hornet-doin/	HoRNet DoIn	semver	0	Public product pages /plugins/{slug}/ with plain-text version banners ("X.Y.Z is available" / updated/upgraded). Chrome/WebFetch past CleanTalk; never DoIn portal for versions.	www.hornetplugins.com:72;www.kvraudio.com:33	pageText-version-available:38;kvr-verwin-osx:33;manufacturer-product-page-banner:22;hornet-product-page-is-available:8;?:3	plugin:105
wa-production	WA Production	102	89	1	63	0	25	82.3	https://www.waproduction.com/plugins/view/multibender	https://www.waproduction.com	https://www.waproduction.com/users/login		semver	0	expand-3 version chip	www.waproduction.com:63;www.kvraudio.com:25	manufacturer-product-page-update-log:38;kvr-product-page:25;?:24;manufacturer-update-log:1	bundle:1;plugin:89;soundset:12
audiothing	AudioThing	99	88	1	60	0	28	79.9	https://www.audiothing.net/plugin-updates/	https://www.audiothing.net	https://www.audiothing.net/account/		semver	0	Product-page demo basenames preferred; Toys/instruments often KVR@60; Magical Toy Keyboard page 404 → KVR 1.0	www.audiothing.net:60;www.kvraudio.com:28	audiothing-demo-installer-filename:41;kvr-product-page:27;updatesTable:8;?:6;demo-installer-filename:4	bundle:7;expansion:4;plugin:88
analog-obsession	Analog Obsession	72	72	0	65	0	7	86.4		https://analogobsession.com	https://analogobsession.com/			0	No reliable public manufacturer semver; KVR developer index.	www.patreon.com:62;www.kvraudio.com:7;analogobsession.com:3	manufacturer-patreon-version-banner:39;manufacturer-official-cdn-installer-filename:25;kvr-product-page:7;page-confirmed:1	plugin:72
impact-soundworks	Impact Soundworks	72	11	11	0	0	0			https://impactsoundworks.com/	https://impactsoundworks.com/my-account/		semver	0				bundle:5;plugin:11;soundset:56
xln-audio	XLN Audio	70	11	0	8	0	5	80.2	https://www.xlnaudio.com/release_notes?filter=xo	https://www.xlnaudio.com	https://www.xlnaudio.com/account		semver	1	XLN public release_notes table; KVR for legacy/SKU editions.	www.xlnaudio.com:8;www.kvraudio.com:5	page-confirmed:6;kvr-product-page:5;live-html-sha256:2	bundle:20;expansion:33;hub_app:2;plugin:11;soundset:4
nembrini-audio	Nembrini Audio	63	63	63	0	0	0			https://www.nembriniaudio.com	https://www.nembriniaudio.com	Central		0	Full product catalog enumerable via official Shopify endpoint products.json?limit=250. No dedicated public downloads page; versions managed inside the Nembrini Audio CENTRAL app.			plugin:63
